,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
Jeff Spender,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capitaine Wilder,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheroke,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hathaway,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Parkhill,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipage,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autres expéditions,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibbs,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Habitants oubliés de la cité,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martiens,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
York,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
