Personnage,Attribut
Christoph (réalisateur),Contrôle
Truman,Entourage de Truman
Shakespeare,
Personne itw 1,
Personne itw 2,
Meryl,Entourage de Truman
Voisin homme,Acteurs
Voisin femme,Acteurs
Voisin enfant,Acteurs
Spenser,Acteurs
Meurl (Buraliste),Acteurs
Hank,Acteurs
2 frères,Acteurs
Patron Truman,Acteurs
Collegue Truman 1,Acteurs
Collegue Truman 2,Acteurs
Collegue Truman 3,Acteurs
Lauren (Sylvia),Entourage de Truman
Dentiste,Acteurs
Vendeur ticket bateau,Acteurs
Commandants bateau,Acteurs
Marlone,Contrôle
Père Truman (Keurk),Entourage de Truman
Enfant Truman (projet),Acteurs
Surveillant parking 1 (téléSpectateur),Spectateur
Surveillant parking 2 (téléSpectateur),Spectateur
Client journal,Acteurs
Intervenants contre père de Truman,Contrôle
Personnes qui gènent la course de Truman,Contrôle
Mère de Truman,Entourage de Truman
Barmaid 1 (téléspectatrice),Spectateur
Barmaid 2 (téléspectatrice),Spectateur
Barman 3 (téléspectateur),Spectateur
Trompetiste,Acteurs
Rita,Entourage de Truman
Personnes qui font disparaitre Lauren,Contrôle
Père Lauren,Contrôle
Metteurs en scène,Contrôle
Figurante presques écrasé,Acteurs
'acteurs qui s''arretent',Acteurs
Groupe de figurants observé par Truman 1,Acteurs
Groupe de figurants observé par Truman 2,Acteurs
Groupe de figurants observé par Truman 3,Acteurs
Securité qui surveille Truman,Contrôle
Metteuse en scène,Contrôle
Techniciens,Contrôle
Jin,Entourage de Truman
Jodie,Entourage de Truman
Joanne,Entourage de Truman
Infirmère qui arrète Truman,Contrôle
Groupe en fauteuil qui tente de ralentir Truman,Contrôle
Infirmier,Acteurs
Groupe intervention médical,Contrôle
'Police qui cache l''action à Truman',Contrôle
Femme agence de voyage,Acteurs
Vendeur ticket Chicago,Acteurs
Conducteur bus,Acteurs
Petite fille,Acteurs
Spectateurs bar,Spectateur
Figurant deviné par Truman 1,Acteurs
Figurant deviné par Truman 2,Acteurs
Figurant deviné par Truman 3,Acteurs
Groupe de voiture qui arrete Truman,Contrôle
Police station nucléaire,Contrôle
Pompier station nucléaire,Contrôle
Scientifiques station nucléaire,Contrôle
Chloé (Réalisatrice),Contrôle
Sémio (chef metteur en scène) ,Contrôle
Vielles téléspectatrices,Spectateur
Assistant Sémio,Contrôle
Pianiste ,Contrôle
Ingé son,Contrôle
Producteurs émission,Contrôle
Sécurité,
Autre Technicien,Contrôle
Spectateurs asiatiques,Spectateur
Presentateur TV,
Technicien cloture,
Spectateur bain,Spectateur
Famille Spectateur,Spectateur
Imposteur cadeau,Entourage de Truman
Imposteur parachute,Entourage de Truman
Maitresse Truman,Acteurs
Spectateur téléphone,Spectateur
Bébés candidats au show,Acteurs
Opératrice vente,
Viviane (supposée futur femme de Truman),Acteurs
Ensemble des techniciens Truman Show,Contrôle
Client téléphonique Truman,
Ensemble des acteurs à la recherche de Truman,Contrôle
Autre metteur en scène,Contrôle
Journaliste,
