Personnages,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
Gens du cirque ,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectateurs,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Magicien,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commissaire konakawa ,,1,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,,1,1,,,1,1,1,1,1,1,,,,,,,
Paprika ,,1,,1,1,1,1,,,,1,,,,,1,,,,1,1,1,1,1,1,1,1,,1,,,,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,,,,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,1,,,,1,1,,,,,,,
Agresseur ,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Villageois,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meurtrier,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Victime de meurtre ,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Employé de bureau,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vigile,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clients du burger,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scientifique Shiba Hatsuko,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,1,1,1,1,1,1,,,1,1,1,1,,,,,,,,1,1,,,,1,1,1,1,,,,,,,,,1,1,1,1,,1,1,1,,,1,1,1,1,1,1,1,,1,1,1,,1,,,,,,,
Professeur Tokita,,,,,,,,1,1,1,1,1,1,1,1,1,,1,1,1,,,,,,,1,1,1,1,1,1,1,,1,1,1,1,,,,1,1,,1,1,1,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,1,1,1,1,1,1,1,,,1,,1,,,,,,,
Directeur Shima,,,,,,,,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,,,,,,,1,,1,1,,,,1,,,,,,,,1,1,1,1,,1,1,1,1,,,,,,,,,,,1,1,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
Employés du labo ,,,,,,,,1,,,,1,1,1,,,,,,,,,,1,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Président du labo,,,,,,,,,1,1,1,1,,,,,,,,,,,1,,,,1,1,,,,,1,,1,,,,,,,,,,,,,,,,1,1,1,,1,1,,,,,,,,1,1,,,,1,,,,,,,,,,1,1,1,1,,,,,,,,,,
terroriste ,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parade,,,,,,,,,,,,,1,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,1,,,,,1,,1,1,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,
infirmière,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poupée de la parade ,,,,,,,,,,,,,,1,,1,,1,,1,1,,,,,,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,
Himuro,,,,,,,,,,,,,,1,1,1,,,1,1,,,1,,,,,,1,1,1,,,,1,1,1,,,,,1,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Assistant du labo Hosana,,,,,,,,,,,,,1,1,1,1,,1,1,1,,,,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,1,,,,,1,1,,1,1,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
serveuse ,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collègue du commissaire,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barmen,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,1,,,,1,1,,,,,,,1,,,,,,,,
ambulanciers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
passants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,1,,,,,,,
ami de jeunesse de Konakawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,
présentatrice météo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
journaliste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
