personnages,scientifique/politique/indef
Cube,politique
Soldats (Qatar),technique
Epps,technique
Fig,technique
Lennox,politique
Enfant qatari,indef
Tour de contrôle (Qatar),politique
Sarah (Femme de Lennox),indef
Fille de Lennox,indef
Decepticon helicoptère,technique
Sam Witwicky,politique
M.Hosney,indef
Etudiants,indef
Captain Archibald Witwicky,politique
Marins,indef
Ron Witwicky,indef
Manny,indef
Bobby Bolivia,indef
Mammy,indef
Bumblebee,politique
John Keller,politique
Aide (Birgam?),politique
President,politique
Mojo,indef
Judy Witwicky,indef
Mère de Fig,indef
Decepticon-scorpion,technique
Miles,indef
Mikaela,technique
Trent,indef
4 jeunes informaticiens pour NSA,scientifique
Maggie,scientifique
Pilote (Air force One),indef
Tour de contrôle (Air force One),indef
Decepticon-radio,politique
Equipage du air force one,indef
Garde rapproché du air force one,indef
Decepticon voiture de police - Barricade,technique
911,indef
Oncle Charles,indef
Chiens décharge x2,indef
Policier au commisariat,technique
Habitants qatari,indef
Homme call center,indef
Glen,scientifique
Grand-mère de Glen,indef
Omar,indef
Tom Banachek,politique
Agent Simmons,politique
Optimus Prime,politique
Ratchet,technique
Jazz,technique
Ironhide,technique
Blackout,politique
Starscream,technique
Devastator,technique
Bonecrusher,technique
Nokia->transformer,indef
Employés et militaires sur le barrage,politique
Megatron,politique
Conducteurs sur l'autoroute,indef
Militaires Air Force,technique
Habitants de la ville,indef
Black Hawk,technique
Decepticon voiture,indef
Decepticon transformateur,indef
Decepticon boîte,indef
Militaires bateau,technique
Hauts placés gouvernement,politique
jeunes bars / restaurant,indef
petite fille chambre,indef
pompiers,technique
père petite fille,indef
matelots,technique
chiens des matelots,indef
2 policiers interrogatoire,technique
Agents fédéraux (secteur 7),politique
Hélicoptères du secteur 7,politique
touriste du barrage,indef
