Personnage,Statut
Solf J. Kimblee,Humain
Armee Central,Humain
Scar,Humain
Edward Elric,Humain
Alphonse Elric,Humain
Yoki,Humain
Ishbal,Humain
Dr Marcoh,Humain
May,Humain
Winry Rockbell,Humain
Izumi Curtis,Humain
Capitaine Buccaneer,Humain
Soldat Briggs,Humain
Olivier Mira Armstrong,Humain
Alex Louis Armstrong,Humain
Armee Drachma,Humain
Docteur Briggs femme,Humain
Commandant Miles,Humain
Docteur Briggs homme,Humain
Fuhrer Bradley,Homonculus
Homonculus,Homonculus
Sous-Lieutenant Falman,Humain
Sloth,Homonculus
Pere,Homonculus
Lieutenant-general Raven,Humain
pierre philosophale,Objet
Alchimiste a la dent d'or,Humain
Mustang,Humain
Hawkeye,Humain
Havoc,Humain
Envy,Homonculus
Hohenheim,Immortel
Trisha Elric,Humain
Pride (Selim),Homonculus
Parents de Winry,Humain
les 2 Chimeres (Jerso et Zampano),Chimeres
armee de l'est,Humain
femme du Fuhrer,Humain
Gluttony,Homonculus
