Personnage,attribut2
Caesar flickerman (présentateur),milieu aisé
Seneca Crane,milieu aisé
katniss ,milieu pauvre
Primrose ,milieu pauvre
vieille dame,milieu pauvre
les deux enfants,milieu pauvre
Groupe de travailleurs,milieu pauvre
vieux monsieur,milieu pauvre
biche,indef
Gale,milieu pauvre
Effie trinket,milieu aisé
Travailleurs en blanc,milieu aisé
personnes dans l'atelier,milieu pauvre
Gardes,milieu aisé
Mêre de katniss,milieu pauvre
Tout le district 12 ,milieu pauvre
Peeta Mellark,milieu pauvre
Haymitch,milieu aisé
Foule,milieu aisé
Médecin/préparateur,milieu aisé
Cinna,milieu aisé
Membres du gouvernement,milieu aisé
Claudius Templesmith (présentateur),milieu aisé
Président Snow,milieu aisé
Tributs,milieu pauvre
Sponsors,milieu aisé
Cato,milieu pauvre
Clove,milieu pauvre
Marvel,milieu pauvre
Glimmer,milieu pauvre
Tributs 3,milieu pauvre
Tribut 4,milieu pauvre
Marina,milieu pauvre
Tribut 5,milieu pauvre
La Renarde,milieu pauvre
Tribut 6,milieu pauvre
Jason,milieu pauvre
Tributs 7,milieu pauvre
Tributs 8,milieu pauvre
Tributs 9,milieu pauvre
Tributs 10,milieu pauvre
Rue ,milieu pauvre
Tresh,milieu pauvre
