Personnages,Science/Technique/Politique
Markus,Politique
Carl Manfred (père de Léo & Père substitutif de Markus),Politique
Léo Manfred (fils de carl),Non défini
Josh,Politique
North,Politique
Simon,Politique
Lucy (androïde type Oracle de Matrix),Science
Présidente des USA,Politique
Policiers génériques,Technique
"Androïdes ""générique"" non-déviants",Technique
"Androïdes ""génériques"" déviants (Jéricho)",Politique
Civils de détroit (Opinion public),Politique
John (Androïde de la sécurité de l'entrepot cyberlife),Politique
Kara,Non défini
Alice Williams (fille de Todd),Non défini
Luther,Technique
Todd Williams (Père de Alice),Non défini
Rose Chapman (mère de Adam),Politique
Adam Chapman (fils de Rose),Politique
Frère de rose chapman (canada),Politique
policier (inspecte chez Rose),Non défini
Zaltko Andronikov,Science
Ralph (Androïde de la maison abandonnée),Non défini
Androïde Ours,Non défini
Androïdes mutilés de Zlatko,Non défini
Jerry (Déviant sauvé avec Luther en allant à la gare),Politique
Andoïdes du parc d'attraction pirate,Technique
Connor,Politique
Hank Anderson,Politique
Cole (Fils de Hank),Non défini
Gavin Reed (méchant collègue de Hank),Politique
"Amanda (""Patron"" de Connor)",Technique
Elijah Kamski (Créateur de Cyberlife),Science
Cyberlife (Entreprise d'androïde),Science
Chloé (Androïde de Kamski),Technique
Jeffrey Fowler (Patron de Hank),Technique
Richard Perkins (Figure du FBI),Politique
Sumo (chien de Hank),Non défini
Ben Collins (gentil collègue de Hank),Technique
Daniel (Déviant de l'intro) (Traqué par Connor ),Non défini
Déviant tueur (Traquées par Connor ),Non défini
"Déviant aux pigeons,Rupert (non attrapé)(Traqué par Connor )",Politique
Déviantes de l'Eden Club (Traquées par Connor ),Politique
"Nouveau Connor, non déviant",Technique
RA9 (Dieu androïde ?),Non défini
