Personnages,Type
Vivienne Rook,Politique
Daniel Lyons,Politique
Stephen Lyons,Technique
Celeste Bisme-Lyons,Technique
Rosie Lyons,Politique
Edith Lyons,Science
Muriel Deacon,Politique
Ralph cousins,Indefini
Bethany Bisme-Lyons,Science
Ruby Bisme-Lyons,Science
Viktor Goroya,Politique
Signor,Technique
Lee Lyons,Technique
Lincoln Lyons,Indefini
Foule espagnole,Politique
Journalistes,Politique
Foule athenienne,Politique
Foule italienne,Politique
Foule hongroise,Politique
Elaine Parris,Technique
Jonjo,Technique
Fran Baxter,Technique
Madeleine Barry,Indefini
Trevor Lyle,Indefini
Jim (chauffeur du bus),Indefini
Passagers du bus,Indefini
Personnel medical ,Science
Trafiquants,Politique
Elodie,Indefini
Immigrants ,Politique
Police + Ambulance,Technique
Partisans de Vivienne Rook,Politique
Militaires,Politique
Citoyens anglais,Indefini
M.Briscoe,Indefini
Administration anglaise,Indefini
 Yvonne (Avocate de Viktor),Politique
Candidats deputes,Politique
Presentateur BBC News,Indefini
Clients Banque,Indefini
Lizzie Mbeka,Science
Police Ukrainienne,Indefini
Associee Edith,Indefini
Holly ,Indefini
Salaries entreprise,Indefini
Salaries Beckondoe/collegues Stephen,Indefini
Superieure Rosie,Indefini
Amis de la Famille,Indefini
Police espagnole,Indefini
Famille Vincent John Lyons,Indefini
Arnaqueurs operationTranshumain,Science
Woody,Politique
Collegues de Stephen,Indefini
Agents de securite,Indefini
Ahmed et les rebelles,Technique
Danny Lyons (fils de Rosie),Indefini
Tony,Indefini
Lesley (nounou),Indefini
Clyde (petit copain Ruby),Indefini
M. Jayansundera (voisin Rosie),Indefini
